id,name,buy,sell,defence,power,speed,magic,mind,luck,evade,m.defence,m.evade,man,woman,materaia_hole_x2,materia_hole_x1,ap
3000,BronzeBangle,100,50,8,0,0,0,0,0,0,0,0,1,1,0,0,1
3001,アイアンバングル,160,80,10,0,0,0,0,0,0,2,0,1,1,0,1,1
3002,チタンバングル,280,190,14,0,0,0,0,0,2,4,0,1,1,0,2,1
3003,ミスリルのうでわ,350,175,18,0,0,0,0,0,3,8,0,1,1,1,0,1
3004,カーボンバングル,800,400,27,0,0,0,0,0,3,14,0,1,1,1,1,1
3005,ぎんのうでわ,1300,650,34,0,0,0,0,0,4,22,0,1,1,1,2,1
3006,きんのうでわ,2000,1000,46,0,0,0,0,0,4,28,0,1,1,2,0,1
3007,ダイアバングル,3200,1600,57,0,0,0,0,0,6,37,0,1,1,2,1,1
3008,クリスタルバングル,4800,2400,70,0,0,0,0,0,8,45,1,1,1,3,0,1
3009,プラチナバングル,1800,900,20,0,0,0,0,0,0,12,0,1,1,0,2,2
3010,ルーンのうでわ,3700,1850,43,0,0,0,0,0,5,24,0,1,1,0,4,2
3011,エジンコート,8000,4000,50,0,0,5,0,0,0,33,0,1,1,0,7,1
3012,ウィザードブレス,12000,6000,6,0,0,20,0,0,3,85,3,1,1,4,0,1
3013,アダマンバングル,0,300,93,0,0,0,0,0,0,23,0,1,1,1,0,1
3014,ギガースのうでわ,0,400,59,30,0,0,0,0,0,0,0,1,1,2,1,0
3015,インペリアルガード,0,1,82,0,0,0,0,0,0,74,0,1,1,3,0,1
3016,エイジスのうでわ,0,1,55,0,0,0,0,0,15,86,50,1,1,2,0,1
3017,フォースブレス,0,1,74,0,0,20,0,0,3,100,3,1,1,2,1,1
3018,ウォーリアバングル,0,500,96,20,0,0,0,0,0,21,0,1,1,2,0,0
3019,しんらあんしきぼうぐ,0,475,30,0,0,0,0,0,0,0,0,1,1,1,2,1
3020,しんらこうがたぼうぐかい,0,750,77,0,0,0,0,0,0,34,0,1,1,3,0,1
3021,フォウスロット,1300,650,12,0,0,0,0,0,0,10,0,1,1,0,4,1
3022,れっかのうでわ,0,2400,72,0,0,0,0,0,8,52,3,1,1,2,0,1
3023,きょくこうのうでわ,0,2400,76,0,0,0,0,0,8,54,3,1,1,2,0,1
3024,てんらいのうでわ,0,2400,74,0,0,0,0,0,8,55,3,1,1,2,0,1
3025,ドラゴンのうでわ,0,1900,58,0,0,0,0,0,3,47,2,1,1,3,0,1
3026,ミネルバブレス,0,1,60,0,0,0,0,0,8,57,0,0,1,3,0,1
3027,エスコートガード,0,1,62,0,0,0,0,0,5,55,0,1,0,3,0,1
3028,ミスティール,0,1,65,0,0,0,0,0,50,72,60,1,1,3,0,1
3029,ザイドリッツ,0,1,100,20,0,20,0,0,15,98,18,1,1,0,0,0
3030,こうきゅううでどけい,0,1,0,0,0,0,0,0,0,0,0,1,1,0,8,1
3031,チョコボのうでわ,0,1,35,0,30,0,0,20,10,38,10,1,1,0,4,1
